rowLabels;AT_P3_S14;BE_P3_S14;BG_P3_S14;CY_P3_S14;DE_P3_S14;DK_P3_S14;EE_P3_S14;ES_P3_S14;FR_P3_S14;GR_P3_S14;HR_P3_S14;HU_P3_S14;LT_P3_S14;LU_P3_S14;LV_P3_S14;MT_P3_S14;NL_P3_S14;PL_P3_S14;RO_P3_S14;SI_P3_S14;SK_P3_S14
AT_C25;0,000939589;5,42659E-05;5,78171E-05;1,53836E-05;7,49103E-05;3,07376E-05;1,4627E-05;7,06331E-06;3,97503E-05;1,17807E-05;1,30249E-05;8,02155E-05;5,21189E-05;1,10294E-05;1,67095E-05;1,6937E-05;5,14693E-05;3,32532E-05;0,000123732;8,10659E-05;6,8019E-05
AT_C26;0,001647596;3,82453E-05;0,000518268;9,02105E-05;0,000292229;0,000112933;0,000166729;1,85717E-05;5,66576E-05;1,61355E-05;0,000300023;0,00013563;9,28288E-05;3,29879E-05;0,000128217;0,000861897;6,61E-05;5,95245E-05;0,00011833;0,000186929;0,000154096
AT_C27;0,001617801;0,000132982;0,000114674;9,94891E-05;9,95387E-05;0,000117473;8,15941E-05;1,86028E-05;5,9317E-05;2,6604E-05;0,000601221;0,000180109;0,000119584;4,89862E-05;7,393E-05;0,000138155;4,83526E-05;6,47699E-05;0,000174018;0,000113618;0,000136297
AT_C28;0,001003666;1,43317E-05;4,45931E-05;1,1156E-05;1,21135E-05;8,85183E-06;3,60589E-06;3,12975E-06;1,27654E-05;3,33502E-06;6,32775E-06;8,0376E-06;2,92521E-05;1,14326E-05;1,05633E-05;5,86136E-05;6,28581E-06;2,3296E-05;2,1984E-05;6,40052E-05;8,65444E-06
AT_C29;0,002086957;0,000286724;0,00055042;0,000220485;0,000606064;0,000167972;6,98795E-05;6,19778E-05;0,000128715;0,000114458;0,000723627;0,000845964;0,000145612;9,13343E-05;0,000198306;0,000719423;0,000152635;0,000257795;8,59767E-05;0,001217972;0,000101908
AT_C30;0,000823359;3,2537E-05;2,17658E-05;1,66726E-06;7,92153E-05;1,24528E-05;3,65105E-05;2,69644E-05;1,72564E-05;8,9192E-06;1,59321E-05;7,5279E-05;1,95276E-05;1,18747E-05;9,15359E-06;6,24241E-07;2,38477E-05;1,19702E-05;3,95599E-06;0,000151181;4,02033E-05
AT_C31_32;0,014589616;8,7524E-05;0,000121156;8,57871E-05;0,000267819;7,53848E-05;0,000276657;5,84964E-05;8,83527E-05;4,71223E-05;0,000303477;0,000309765;5,13126E-05;0,00011983;7,95754E-05;0,000210711;9,33762E-05;8,76658E-05;9,0524E-05;0,000831694;0,000392665
AT_C33;0;1,65306E-06;1,33748E-06;2,90398E-07;2,14211E-06;5,97644E-06;1,02191E-07;2,92713E-07;5,42245E-07;1,57962E-07;6,33166E-07;0;3,93667E-07;4,47417E-09;6,5946E-07;7,32533E-07;2,59917E-07;5,64016E-07;9,12633E-08;2,57387E-08;4,97766E-07
AT_D35;0,050620411;2,18097E-06;2,18413E-05;2,12362E-07;8,73606E-05;1,61798E-06;1,87282E-07;3,32614E-07;5,42483E-07;1,84496E-06;2,04007E-05;0,001752564;1,58284E-06;0,000887447;6,4782E-07;0;1,25667E-06;6,7492E-06;4,65086E-06;0,002693541;7,31471E-06
AT_E36;0;0;1,88736E-07;0;8,9199E-08;1,78496E-08;0;4,34024E-09;1,34111E-08;5,21282E-08;5,2611E-07;5,56729E-07;0;0;0;0;2,37445E-07;1,61605E-08;5,91019E-08;2,88178E-07;1,4341E-07
AT_E37T39;0,000897414;9,809E-07;2,14487E-05;2,63236E-07;4,53253E-06;1,53172E-06;1,67709E-06;6,05772E-07;2,71429E-06;2,63017E-06;5,98396E-05;3,7649E-05;2,52617E-06;1,60965E-05;1,90023E-06;4,84395E-07;8,25822E-07;1,27082E-06;1,34061E-06;7,0526E-06;4,56694E-05
AT_F;0,006623532;2,18695E-06;8,00208E-06;2,20418E-07;1,87141E-05;7,9063E-07;6,5707E-07;1,05911E-06;2,78666E-06;3,74363E-06;4,9416E-06;7,79742E-06;3,6251E-06;5,55307E-06;1,33901E-06;4,02567E-07;5,32664E-07;9,1829E-06;2,28699E-05;1,95551E-06;1,18876E-05
AT_G45;0,029232355;4,16948E-07;6,30538E-06;2,05971E-07;0,000169958;3,72901E-05;4,62307E-08;1,87963E-07;2,2295E-07;1,17506E-06;1,24655E-06;9,58723E-07;9,32756E-07;6,66991E-06;2,1164E-07;3,62935E-06;7,72555E-07;4,33384E-07;9,18685E-07;9,91342E-06;2,3406E-06
AT_G46;0;0;0;0;0;5,97337E-09;0;0;0;0;0;0;0;0;0;4,3794E-07;0;0;0;0;0
AT_G47;0;0;0;0;0;1,00477E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,03136E-07
AT_H49;0,026445538;5,06824E-06;0,000140589;0;2,74256E-05;6,89529E-06;1,45409E-06;1,89956E-06;1,10722E-05;0,000145537;2,60887E-05;1,20692E-05;1,90649E-05;2,28301E-05;2,87746E-06;1,41423E-07;2,65438E-05;1,13007E-05;0,000149495;2,22734E-07;3,46128E-07
AT_H50;9,92883E-05;1,5987E-08;4,23484E-09;0;9,57513E-09;3,76598E-08;1,81864E-07;6,53264E-08;2,63989E-08;2,03887E-08;3,66346E-07;9,2623E-08;3,07616E-08;8,54399E-09;0;4,77702E-07;7,56277E-09;1,00193E-08;4,64055E-08;0;0
AT_H51;0,010639817;6,72779E-06;0,000158007;0,000399283;7,81039E-05;6,78905E-06;2,59521E-05;7,19029E-06;1,7071E-05;6,08305E-05;8,08754E-06;8,71263E-06;3,91132E-05;2,24829E-06;4,40653E-06;6,81185E-05;2,85969E-05;1,38213E-05;1,66394E-05;2,74312E-05;2,13664E-08
AT_H52;0,006216276;1,87965E-07;6,07709E-06;1,58069E-07;4,00828E-06;6,3247E-07;1,26715E-07;1,78089E-07;3,05318E-06;1,00167E-05;8,89536E-07;2,96378E-05;1,73954E-05;3,74589E-06;2,83569E-07;6,91545E-08;6,33536E-07;2,04219E-06;4,10067E-08;1,24427E-05;7,91797E-07
AT_H53;0,000489491;1,75486E-09;2,27044E-06;0;6,08122E-06;4,61825E-08;0;2,33642E-07;6,79432E-07;1,64586E-07;6,93189E-06;8,85064E-08;7,85289E-07;2,53131E-06;0;0;2,85922E-08;5,29316E-07;1,37497E-06;4,18639E-07;0
AT_I;0,078688842;5,72806E-07;0,000130869;2,32556E-07;2,19823E-06;8,16825E-07;4,28539E-07;2,17127E-07;3,61934E-07;2,90793E-05;5,19005E-06;0,000183123;1,15513E-05;0,00014233;2,92867E-07;3,70995E-07;2,15088E-07;2,16901E-05;5,04938E-05;1,26507E-06;1,8077E-06
AT_J58;0,006423566;6,65701E-06;1,97163E-05;2,15412E-06;0,000106529;1,45188E-05;7,27395E-06;2,10005E-06;6,82419E-06;1,57043E-06;1,22491E-05;4,52532E-05;1,25082E-06;6,46519E-06;3,4173E-05;0,000217921;2,10085E-05;2,10294E-05;6,02373E-06;6,1902E-05;7,5535E-05
AT_J59_60;0,002667146;1,38096E-07;1,09605E-05;1,25893E-06;1,62165E-05;9,21184E-07;8,13149E-07;1,76675E-06;1,13601E-06;5,07233E-07;3,41141E-06;2,29314E-06;3,61151E-07;7,55461E-08;1,41276E-06;2,64299E-05;2,60758E-07;6,32168E-06;3,67784E-07;6,12036E-06;2,77176E-06
AT_J61;0,001987227;1,20425E-07;0,000151521;3,29876E-07;1,66745E-05;8,38763E-07;1,61166E-07;3,83216E-08;4,5388E-07;1,52415E-05;7,67528E-05;0,000114563;3,25078E-06;4,09738E-06;3,33473E-07;9,5323E-07;6,74834E-08;1,54311E-05;1,7047E-05;0,000162318;9,52022E-07
AT_J62_63;0,000128019;0;6,16367E-07;6,8945E-08;6,57819E-07;5,09967E-07;3,10186E-07;2,46078E-09;8,76639E-07;3,32945E-08;8,45043E-06;0;2,13822E-07;3,88455E-09;9,71237E-08;4,19332E-07;9,55953E-08;5,30997E-07;9,01034E-06;0;0
AT_K64;0,011196456;8,41687E-06;1,13604E-05;2,61456E-07;5,57455E-05;6,96358E-06;2,86878E-07;3,11959E-06;9,45412E-07;8,90478E-06;3,56082E-05;0,000109467;5,18924E-06;1,3426E-06;2,21337E-08;1,26872E-06;1,58257E-06;1,78734E-05;7,89722E-06;1,51362E-07;4,5433E-07
AT_K65;0,021193833;1,17032E-05;9,59839E-06;0;7,6111E-08;4,69764E-06;2,50964E-07;5,60848E-09;8,08778E-06;2,89757E-05;8,51012E-05;1,28709E-05;2,45845E-05;2,10318E-05;8,60548E-05;0;2,31426E-07;9,77891E-05;0,000206892;3,19677E-08;4,10271E-08
AT_K66;0,001487328;3,35539E-08;1,20457E-07;0;8,90627E-07;3,11556E-07;1,67351E-08;1,60082E-08;0;6,05957E-08;1,93494E-05;3,1534E-06;2,94035E-07;0;2,79432E-07;7,3822E-06;8,19922E-08;1,25746E-05;1,73781E-06;9,35552E-07;1,24378E-06
AT_L;0,276186986;8,01117E-09;2,11454E-06;9,32173E-07;1,46883E-06;1,91446E-05;0;5,98852E-07;3,05022E-07;1,69577E-06;4,32085E-06;5,77943E-06;4,53636E-07;2,79907E-05;0;2,09633E-06;3,04005E-08;1,11372E-06;2,70506E-06;3,08319E-06;2,55328E-06
AT_M69_70;0,00242144;1,07682E-07;9,73018E-06;3,58305E-08;3,71672E-06;3,23889E-07;7,41496E-08;1,95005E-06;4,46798E-06;1,08087E-06;1,15446E-06;8,21914E-07;2,04132E-07;7,17613E-07;3,64147E-07;1,4079E-05;3,36576E-07;2,86866E-05;6,60421E-06;1,52988E-07;4,18793E-07
